và	pép
gãy	trởi
vạn	quừi
thước	uỵ
lấn	guẫng
trắc	ghiệt
rèn	loàm
xách	giuẫn
điền	bữu
mạo	tuốp
bơm	choẵn
sen	phọc
phu	cẵn
khoáng	triệc
gìn	troảnh
tàn	boẻm
nhạy	duợ
nhượng	đuấn
nhẫn	mệu
chán	coăm
đớn	roão
lạng	xoãm
leo	lươi
xá	poèo
tráng	khợn
ném	chửu
thoái	cưởng
soạn	ngua
nảy	quýa
khê	uyến
lạt	phuỹn
lây	nượm
thuần	uật
hò	choạnh
phật	ngặng
bàng	ruốt
com	giuỳn
dỡ	ghệt
diệt	toay
ruộng	ghíp
diệu	niệt
rạp	mẳng
phùng	đoèn
đĩa	doặng
thô	xãn
thắc	quiểm
tám	nưởu
tràng	phoẳm
hổ	oay
quyên	soẳm
rét	boẹm
đành	rẹo
tảng	guân
thánh	rậc
thuy	gộng
nhé	đuyết
lấp	thoám
vỉa	khoẻo
mồ	quỵp
xạ	mẹng
lứa	xãm
vươn	nguầng
mày	nghiếp
xi	boám
sợi	xuơ
nhở	puậng
bùng	bếu
liều	giảu
nguyệt	muể
tứ	pượm
thạc	xoản
san	poẹo
bế	mũa
chiêu	giuễnh
ám	phấy
giãn	boặm
dời	puộn
mỏ	khượi
đan	guỗi
dã	qù
trâu	khỏm
thoáng	giơn
oanh	hiệng
son	buỵp
thâm	gioọng
ngắm	khẻng
vịnh	tuờ
út	troãi
liêu	buỵt
dắt	tưm
rộn	roem
úc	gãnh
xưởng	truếch
khổng	cườu
khanh	luýt
bẩn	truộn
dông	rẻng
nát	moãm
ngạc	suâng
bể	giuốp
khang	vuỗn
kem	nhờm
bút	nguộc
phái	bọp
ôn	xoắm
bón	goam
rãi	xỗm
ngoan	đoành
luồng	moém
lông	muổng
tạ	giù
rẫy	nhưới
luân	nhoác
vấp	loắc
sạt	bứi
hắn	vữm
rủ	nuần
chửi	giách
mộc	chêu
im	nhỗ
đằng	nừn
sâm	tróng
thoảng	nhười
nút	chuỳu
gũi	tơm
nấm	pưởng
ngâm	loào
lồ	poạm
bội	cuỵa
dừa	nháu
chúa	cưỡu
cua	tộn
măng	khồi
xơ	chuầy
quế	nuật
củng	quẫu
o	xuyện
quyến	hềm
mũ	mựu
mảng	nhuỡ
chả	quổm
ngào	quượi
tím	giuỗng
gom	nũ
ốm	trỳ
đầm	choãy
khơi	xừa
băn	phệu
men	troành
vây	thiễng
địch	khịp
khoăn	troáp
sưu	ruợ
hụt	chuê
lắk	phuốp
bồ	sược
dở	troá
bì	xuỵn
trượt	ruỵu
đùa	chưm
ngạch	muýt
dốc	pão
nhã	gự
gạch	ỗm
man	sãm
mông	rạu
bái	thợi
bỗng	nhưởng
soi	nguẫy
mười	mẹp
khứ	nguận
sương	noẽ
rũ	oẻo
khéo	quãm
dồn	xuỳ
lộn	gẵng
diễm	nghiệu
lỏng	gioẻm
khoảnh	thãu
ổ	giếc
cỡ	thoằn
gối	luệnh
manh	boánh
ngơi	quoạn
cước	thướm
bún	troén
hán	nhoẻm
hòn	đuồn
côn	xoõng
màng	lửi
dâng	rẫn
ơi	puyên
hận	chứm
mẻ	gừm
hở	thoào
tựu	gưỡng
dạo	sợn
ngột	vơm
hiếp	ãn
hỗn	nhèng
lính	vuyển
thắn	hêu
thắt	lãu
trùm	ghển
cay	nhẽm
luỹ	đoặt
chanh	nuỷnh
đạm	hưn
đồi	vướn
ranh	thứng
xao	suễnh
tạng	vìa
chuột	bãy
bọc	moáp
ưa	nuẩng
hố	noém
thầm	xượp
voi	ruồm
cốc	quỵnh
thấu	puôn
mọc	pảnh
rể	triềm
nhát	vũa
ngón	pểnh
nhì	chuynh
sụt	doãm
dịu	sấc
dang	cuớ
phiền	puýt
rạch	vễu
thằng	tõ
rắn	chườn
lôi	truýt
rỡ	troán
gắt	ngoẽo
xông	vuậy
ghen	phuẫn
tê	vuơ
hoại	lềm
đứt	moai
mò	phuýt
bắp	uợ
nhí	hoem
mờ	piệu
chuyền	nhuồng
dệt	quoén
hãi	nhoạc
má	khưa
cắm	trẫn
nồi	dũn
dối	chiễm
rải	pợt
ớt	toẵm
ham	phoán
chè	khuỳa
cúng	ngoèn
phụng	trẫu
nôn	mộm
xót	tưỡn
ngợi	oẻn
khoai	xuỹ
chuối	nỉn
vành	sường
hoành	páu
nhặt	quứa
nhĩ	lẹp
dò	piễu
đán	khuở
cám	đuỹn
trạch	mệch
na	soắng
lùi	roẹm
chê	loãy
chôn	pèn
lề	gĩa
cạn	khẻo
nếp	tền
đới	nuỹ
đuôi	khưởi
dội	nhuỗi
vy	trủm
đáy	ruẩng
hân	cại
bưu	nghẹp
rồng	duờ
nho	khậu
